job_title,skills,experience,salary,location,company,job_type,rating,remote
Backend Developer,"python,django,api",1,93667,Bangalore,TCS,Full-time,3.9,No
Data Engineer,"python,spark,sql",2,87585,Remote,Google,Part-time,3.8,No
Web Developer,"html,css,js",4,99554,Bangalore,Infosys,Full-time,4.8,No
ML Engineer,"python,ml,dl",2,63090,Remote,Microsoft,Part-time,3.9,No
Web Developer,"html,css,js",1,109953,Pune,Infosys,Part-time,3.4,Yes
Business Analyst,"excel,sql,powerbi",1,55502,Remote,Microsoft,Part-time,3.4,No
Data Engineer,"python,spark,sql",4,85330,Pune,TCS,Part-time,3.0,Yes
Data Scientist,"python,ml,statistics",1,57610,Pune,TCS,Part-time,4.5,No
ML Engineer,"python,ml,dl",4,103202,Remote,StartupX,Full-time,3.2,Yes
Backend Developer,"python,django,api",3,53577,Remote,Microsoft,Full-time,5.0,Yes
Data Analyst,"python,sql,excel",1,43350,Bangalore,Microsoft,Full-time,4.0,Yes
Software Engineer,"java,python,oop",4,37889,Bangalore,Infosys,Part-time,3.3,Yes
Data Analyst,"python,sql,excel",4,105092,Remote,Infosys,Full-time,3.7,Yes
AI Engineer,"python,ml,dl,nlp",1,105416,Delhi,Infosys,Full-time,4.3,Yes
AI Engineer,"python,ml,dl,nlp",1,44565,Remote,Google,Part-time,4.3,Yes
Backend Developer,"python,django,api",3,79847,Pune,Google,Part-time,3.2,Yes
Backend Developer,"python,django,api",1,107739,Mumbai,Google,Part-time,3.3,Yes
AI Engineer,"python,ml,dl,nlp",1,85109,Remote,Infosys,Part-time,4.4,No
ML Engineer,"python,ml,dl",2,77626,Bangalore,StartupX,Full-time,4.7,Yes
AI Engineer,"python,ml,dl,nlp",2,68556,Delhi,TCS,Full-time,3.0,Yes
Software Engineer,"java,python,oop",2,45799,Delhi,TCS,Part-time,3.8,Yes
AI Engineer,"python,ml,dl,nlp",2,38319,Pune,StartupX,Full-time,4.0,No
Software Engineer,"java,python,oop",3,54579,Pune,Infosys,Full-time,3.0,Yes
Business Analyst,"excel,sql,powerbi",1,83080,Bangalore,Google,Full-time,4.6,Yes
ML Engineer,"python,ml,dl",3,102869,Pune,StartupX,Part-time,4.7,No
Business Analyst,"excel,sql,powerbi",3,97032,Mumbai,StartupX,Part-time,3.3,Yes
Software Engineer,"java,python,oop",4,95416,Pune,Microsoft,Part-time,4.1,No
Data Engineer,"python,spark,sql",4,103520,Pune,StartupX,Full-time,3.8,Yes
Web Developer,"html,css,js",4,43931,Bangalore,StartupX,Full-time,3.9,Yes
Data Scientist,"python,ml,statistics",2,93088,Mumbai,StartupX,Part-time,4.8,Yes
Web Developer,"html,css,js",3,81496,Remote,Google,Full-time,3.9,No
Web Developer,"html,css,js",4,115615,Delhi,Google,Full-time,3.6,Yes
Business Analyst,"excel,sql,powerbi",1,48761,Remote,Google,Full-time,3.6,No
Data Scientist,"python,ml,statistics",1,39476,Pune,TCS,Full-time,4.6,Yes
Data Engineer,"python,spark,sql",4,76964,Pune,Microsoft,Full-time,4.4,Yes
Software Engineer,"java,python,oop",4,56006,Remote,Microsoft,Part-time,4.2,Yes
Data Scientist,"python,ml,statistics",1,104140,Remote,TCS,Full-time,4.2,No
Data Scientist,"python,ml,statistics",2,52807,Delhi,Google,Part-time,4.0,No
AI Engineer,"python,ml,dl,nlp",1,47388,Delhi,Infosys,Full-time,3.4,Yes
Data Engineer,"python,spark,sql",4,78422,Remote,Microsoft,Part-time,4.5,Yes
AI Engineer,"python,ml,dl,nlp",1,48774,Remote,Google,Part-time,3.5,Yes
AI Engineer,"python,ml,dl,nlp",2,42752,Mumbai,Google,Part-time,3.8,Yes
Business Analyst,"excel,sql,powerbi",2,38095,Pune,Microsoft,Part-time,3.3,Yes
AI Engineer,"python,ml,dl,nlp",2,43604,Remote,Microsoft,Full-time,3.2,Yes
ML Engineer,"python,ml,dl",1,93184,Mumbai,Infosys,Part-time,3.4,Yes
Backend Developer,"python,django,api",1,48962,Delhi,Google,Part-time,4.8,No
AI Engineer,"python,ml,dl,nlp",4,88157,Delhi,StartupX,Part-time,4.1,Yes
Business Analyst,"excel,sql,powerbi",3,75985,Delhi,Infosys,Part-time,3.9,No
Business Analyst,"excel,sql,powerbi",3,115889,Delhi,Microsoft,Full-time,4.3,Yes
Software Engineer,"java,python,oop",1,101030,Delhi,Infosys,Full-time,3.2,Yes
Data Engineer,"python,spark,sql",3,50862,Mumbai,Infosys,Part-time,3.7,Yes
ML Engineer,"python,ml,dl",3,54842,Remote,TCS,Full-time,3.9,Yes
Data Engineer,"python,spark,sql",4,109978,Delhi,Google,Full-time,4.8,Yes
Backend Developer,"python,django,api",4,100136,Bangalore,Google,Part-time,3.6,Yes
